MAIN_ID,RA,DEC,Distance_distance
EM* AS  310,18 33 21.1940,-04 58 05.976,2461.236
[JCH96] NGC  4565 t,12 36 10.2580,+25 56 57.800,693.241
2MFGC 13750,17 14 09.719,-23 31 53.67,125.91
PN KFL   15,18 14 19.324,-25 20 51.22,6.355
PN H  1-41,17 57 19.1084,-34 09 48.784,5.752
PN K  3-5,18 31 45.8281,+04 05 09.319,7.594
IC 2553,10 09 20.8615,-62 36 48.545,3.722
PN A66   55,19 10 25.768,-02 20 23.46,2.186
SH  2-71,19 02 00.2849,+02 09 10.977,1.016
PN M  3-35,20 21 03.7631,+32 29 24.005,5.204
PN Bl  3-13,17 56 02.7875,-29 11 16.552,8.73
PN Lo    8,13 25 37.5025,-37 36 14.736,1493.206
NGC  6026,16 01 21.1234,-34 32 35.786,2.425
Hen 1-2,19 26 37.7448,+21 09 26.941,8.242
NGC  6578,18 16 16.517,-20 27 02.67,3.68
PN M  1-66,18 58 26.24,-01 03 45.6,4.135
PN K  3-62,21 31 50.1857,+52 33 51.571,5.507
WRAY 16-221,16 27 50.9220,-54 01 28.496,7.275
PN M  3-27,18 27 48.2638,+14 29 06.066,6.531
2MASS J13495218-6249406,13 49 52.1846,-62 49 40.658,3.72
PN A66   83,23 46 46.709,+54 44 37.69,2.964
PN A66   63,19 42 10.2896,+17 05 14.458,2738.976
2MASS J00400323+4142109,00 40 03.2313,+41 42 10.972,1113.958
CD-65   807,09 46 19.2156,-65 43 08.072,652.955
IC 2003,03 56 21.9884,+33 52 30.759,4.737
NGC  6302,17 13 44.5,-37 06 11,0.746
LS III +51   42,22 51 38.9171,+51 50 42.440,23.69
PN A66   53,19 06 45.910,+06 23 52.47,1.946
PN H  1-33,17 47 49.4162,-34 08 05.126,12.2
2MASS J00402316+4136404,00 40 23.1638,+41 36 40.524,520.535
IRAS 06252+1248,06 28 03.4692,+12 46 16.053,924.898
[RP2006] J052728-682052,05 27 28.5138,-68 20 51.599,459.031
CD-48  6027,10 54 40.5601,-48 47 02.815,815.528
2MASX J17164680-2459103,17 16 46.802,-24 59 10.39,120.58
NGC  6543,17 58 33.4039,+66 37 58.750,1.607
Hen 2-442,19 39 43.3532,+26 29 33.033,6.531
NGC  7293,22 29 38.5454,-20 50 13.747,0.16
IC  972,14 04 25.9204,-17 13 40.579,2.517
NGC  6567,18 13 45.1636,-19 04 34.071,3.652
PN K  2-3,07 06 56.8,-22 02 26,1.917
PN M  3-15,17 45 31.7096,-20 58 01.493,6.825
SH  1-89,21 14 07.628,+47 46 22.17,2.52
