MAIN_ID,RA,DEC,Distance_distance,FLUX_V
EM* AS  310,18 33 21.1940,-04 58 05.976,2461.236,12.52
IC 2553,10 09 20.8615,-62 36 48.545,3.722,10.9
SH  2-71,19 02 00.2849,+02 09 10.977,1.016,14.0
PN M  3-35,20 21 03.7631,+32 29 24.005,5.204,15.3
PN Bl  3-13,17 56 02.7875,-29 11 16.552,8.73,16.0
PN Lo    8,13 25 37.5025,-37 36 14.736,1493.206,12.6
NGC  6026,16 01 21.1234,-34 32 35.786,2.425,12.5
Hen 1-2,19 26 37.7448,+21 09 26.941,8.242,16.7
WRAY 16-221,16 27 50.9220,-54 01 28.496,7.275,13.2
2MASS J00400323+4142109,00 40 03.2313,+41 42 10.972,1113.958,14.7
CD-65   807,09 46 19.2156,-65 43 08.072,652.955,10.12
IC 2003,03 56 21.9884,+33 52 30.759,4.737,11.87
LS III +51   42,22 51 38.9171,+51 50 42.440,23.69,11.78
PN H  1-33,17 47 49.4162,-34 08 05.126,12.2,15.3
IRAS 06252+1248,06 28 03.4692,+12 46 16.053,924.898,9.585
[RP2006] J052728-682052,05 27 28.5138,-68 20 51.599,459.031,20.195
CD-48  6027,10 54 40.5601,-48 47 02.815,815.528,12.12
NGC  6543,17 58 33.4039,+66 37 58.750,1.607,11.28
Hen 2-442,19 39 43.3532,+26 29 33.033,6.531,15.47
NGC  7293,22 29 38.5454,-20 50 13.747,0.16,13.524
NGC  6567,18 13 45.1636,-19 04 34.071,3.652,10.9
PN IsWe    1,03 49 05.9053,+50 00 14.898,425.459,16.523
PN H  1-43,17 58 14.4398,-33 47 37.621,13.45,15.1
PN A66   51,19 01 01.3921,-18 12 15.321,1.52,15.42
WRAY 16-159,15 04 08.6255,-60 53 20.140,3.455,14.0
WRAY 16-165,15 06 13.7137,-42 59 56.499,9.277,13.2
PN M  2-16,17 52 34.37,-32 45 51.4,7.117,14.8
WRAY 16-116,12 30 07.6635,-63 53 00.759,3.596,14.67
CPD-51  6744,14 18 08.8853,-52 10 39.516,4.386,11.98
PN A66   16,06 43 55.4180,+61 47 24.657,1.646,18.714
WRAY 16-23,08 37 08.10,-39 25 07.0,1.028,15.59
PN M  2-40,18 21 23.8579,-06 01 55.766,7.022,15.8
PN K  1-6,20 04 14.2789,+74 25 36.381,258.819,12.07
HD 235858,22 29 10.3748,+54 51 06.344,1457.726,9.52
PN K  3-67,04 39 47.9282,+36 45 42.627,3.47,13.68
PN A66   41,17 29 02.0258,-15 13 04.482,4.698,15.95
IC 4642,17 11 45.2045,-55 24 01.663,3.04,13.0
V* HM Lup,15 47 50.6288,-35 28 35.404,156.713,14.748
PN Pe  1-18,18 48 46.454,-05 56 07.71,8.206,15.2
SH  2-272,06 15.0,+12 20,4.96,12.98
PN MyCn   18,13 39 35.0596,-67 22 51.750,3.342,12.54
PN Th  4-7,17 52 22.569,-21 51 13.43,6.118,15.46
NGC  6210,16 44 29.5191,+23 47 59.421,2.308,11.7
NGC  7027,21 07 01.5719,+42 14 10.471,1.115,8.831
NGC  6537,18 05 13.104,-19 50 34.88,3.808,13.58
WRAY 15-1508,16 34 13.50,-49 21 12.3,2.676,17.0
NGC  1535,04 14 15.7689,-12 44 21.932,2.332,12.82
UCAC2  27669405,12 39 48.3061,-11 43 03.389,1622.06,15.26
Ford NGC 221 j,00 42 34.0694,+40 53 10.956,1692.62,16.37
PN H  1-40,17 55 36.0545,-30 33 32.359,7.283,15.5
PN H  1-45,17 58 21.8662,-28 14 52.195,13.55,15.602
WRAY 16-151,14 18 43.3392,-63 07 10.089,4.055,14.2
PN M  2-28,18 05 02.73,-30 58 18.0,9.65,15.5
NGC  2452,07 47 26.2649,-27 20 06.819,2.871,12.2
WRAY 16-190,15 52 10.6705,-62 30 47.205,4.992,13.3
V* V448 Lac,22 24 31.4283,+43 43 10.978,3007.52,9.69
WRAY 16-194,15 58 08.1032,-55 41 50.351,7.048,15.6
WeBo 1,02 40 14.3689,+61 09 16.795,1573.812,14.45
WRAY 16-72,10 34 19.091,-53 41 03.11,5.21,14.3
PN M  4-18,04 25 50.8356,+60 07 12.780,8.959,13.96
PN H  2-48,18 46 35.1182,-23 26 48.261,7.011,13.0
PN M  3-36,17 12 39.1651,-25 43 37.502,14.41,14.7
PN M  2-27,18 03 52.5718,-31 17 47.161,12.54,14.4
